id,documentIde,actualFileRef,originalFileRef,pageNo,name,tenantId,productId,preflightStatus,previewRef,mediaBox_x,mediaBox_y,mediaBox_width,mediaBox_hight,trimBox_x,trimBox_y,trimBox_width,trimBox_hight,colors_0_name,colors_0_overprint,colors_0_purpose,colors_0_opacity,colors_0_density,status,NumberPages,date,colors_1_name,colors_1_overprint,colors_1_purpose,colors_1_opacity,colors_1_density,colors_2_name,colors_2_overprint,colors_2_purpose,colors_2_opacity,colors_2_density,colors_3_name,colors_3_overprint,colors_3_purpose,colors_3_opacity,colors_3_density,colors_4_name,colors_4_cmyk_c,colors_4_cmyk_m,colors_4_cmyk_y,colors_4_cmyk_k,colors_4_overprint,colors_4_purpose,colors_4_opactiy,colors_4_density,bildanteil_in_%,falzkanten,dateigröße,seitenverhältnisse,output_intent,anzahl_pantonfarben,seiten_anzahl,target_format,target_druckseiten,target_papiertyp,target_typ
664y2bs1573vs643mjh28f0r,e38y18n0-16p6-3996-jd50-032q3h9415v8,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/747h7q94-k921-54oj-2m5p-q585sw3u9809/content/747h7q94-k921-54oj-2m5p-q585sw3u9809,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/747h7q94-k921-54oj-2m5p-q585sw3u9809/content/747h7q94-k921-54oj-2m5p-q585sw3u9809,2,oruppertza.pdf,68718u41-2t16-9313-9q50-a12k4846ob02,43395q70-d951-5vu2-el6x-bsz3445x92rq,PREFLIGHT _OK,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/g76efh21-s2y1-7649-39y2-065131y5r029/thumbs/g76efh21-s2y1-7649-39y2-065131y5r029,0.0,0.0,33,153,20.1,41.17,18,139,Cyan,Unspecified,LINE,UNSPECIFIED,0.61,PREFLIGHT_OK,2,2016-03-15 16:26:55,Magenta,Unchanged,LINE,NORMAL,0.05,Yellow,Unchanged,LACK,NORMAL,0.13,Black,Overprint,PRINTING,UNSPECIFIED,0.33,24_Karat,0.02,0.02,0.06,0.0,Unspecified,PRINTING,UNSPECIFIED,0.81,45,0,2.13,4.6,F39,0.2,1,Freies_Format,Einseitig,gestrichen_altes_Profil,etikett
580y7vy0897ko676ere36d7v,f39k23r2-17b6-9041-wg46-808w6t2054g5,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/923u4u81-g566-74zu-8y7g-e288iz8y7450/content/923u4u81-g566-74zu-8y7g-e288iz8y7450,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/923u4u81-g566-74zu-8y7g-e288iz8y7450/content/923u4u81-g566-74zu-8y7g-e288iz8y7450,2,lmccoolb.pdf,64914c84-9f76-8492-0o37-d73a0087wd69,35709g31-n325-7ie9-nc0p-uzb5643g91qb,PREFLIGHT _OK,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/e59zpj17-y8i0-4003-72a4-546102y0r156/thumbs/e59zpj17-y8i0-4003-72a4-546102y0r156,0.0,0.0,195,175,15.1,41.17,183,164,Cyan,Unspecified,LINE,UNSPECIFIED,0.39,PREFLIGHT_OK,2,2021-08-17 16:36:36,Magenta,Unspecified,LACK,UNSPECIFIED,0.12,Yellow,Knockout,LACK,UNSPECIFIED,0.47,Black,Unspecified,PRINTING,NORMAL,0.09,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,59,0,2.32,1.1,undefinde,0.34,1,Freies_Format,Einseitig,gestrichen_altes_Profil,etikett
137w6pq9743nq638nde83m4c,e63e59d3-16p1-9983-sw56-440j1a0801x5,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/269k2j62-n009-44rc-4x6m-t116hp4p1734/content/269k2j62-n009-44rc-4x6m-t116hp4p1734,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/269k2j62-n009-44rc-4x6m-t116hp4p1734/content/269k2j62-n009-44rc-4x6m-t116hp4p1734,1,mheritegec.pdf,27691g66-0c25-2616-2m10-k81c2044xy07,43874e61-y370-2xh0-yr9u-kpw0873r91mg,PREFLIGHT _OK,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/u32mdu29-u3c4-8141-85f0-626363h7l712/thumbs/u32mdu29-u3c4-8141-85f0-626363h7l712,0.0,0.0,138,202,20.1,32.1,122,187,Black,Unspecified,PRINTING,OPAQUE,0.97,PREFLIGHT_OK,2,2018-09-15 15:32:58,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,45,0,2.21,1.5,undefinde,0.56,1,Freies_Format,Einseitig,gestrichen_altes_Profil,etikett
801t4qy3238hz678ceo44n5a,z14a66r3-13j3-2850-mx63-259u8s1407h2,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/206g1c20-n072-94be-9l8s-e516xz8a3377/content/206g1c20-n072-94be-9l8s-e516xz8a3377,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/206g1c20-n072-94be-9l8s-e516xz8a3377/content/206g1c20-n072-94be-9l8s-e516xz8a3377,2,strownsond.pdf,08339v44-8c61-2024-4l93-e34z2331my58,74102f56-e640-5ig8-go2y-ioj5680a52rj,PREFLIGHT _OK,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/u22hzi75-r0o1-3954-13r6-687370z6x749/thumbs/u22hzi75-r0o1-3954-13r6-687370z6x749,0.0,0.0,148,105,20.1,32.1,133,95,Cyan,Knockout,LACK,UNSPECIFIED,0.64,PREFLIGHT_OK,1,2018-04-22 23:14:08,Magenta,Overprint,LINE,UNSPECIFIED,0.23,Yellow,Knockout,LACK,UNSPECIFIED,0.32,Black,Knockout,LACK,OPAQUE,0.61,MLS,0.07,0.04,0.06,0.0,Unchanged,LINE,UNSPECIFIED,0.69,39,0,2.92,1.4,F39,0.77,1,Freies_Format,Einseitig,gestrichen_altes_Profil,etikett
888l5uf2462cp425bpo75x8o,i10p18n2-19o2-9887-xu48-010n0h8301w3,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/881v1x10-s581-44xt-1q1v-g231qg2t7594/content/881v1x10-s581-44xt-1q1v-g231qg2t7594,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/881v1x10-s581-44xt-1q1v-g231qg2t7594/content/881v1x10-s581-44xt-1q1v-g231qg2t7594,2,dsowleye.pdf,60441p98-2p37-8190-2d97-z69i7588di76,82027c29-e516-9do8-vz3t-vtl8558k59tb,PREFLIGHT _OK,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/f04dkc13-m9f1-3479-73j6-802558z9y014/thumbs/f04dkc13-m9f1-3479-73j6-802558z9y014,0.0,0.0,200,153,20.1,32.1,186,142,Black,Unspecified,LACK,UNSPECIFIED,0.58,PREFLIGHT_OK,2,2016-09-26 13:31:40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,63,0,2.91,1.3,F39,0.81,1,Freies_Format,Einseitig,gestrichen_altes_Profil,etikett
837l5yd7923xk339prm10n3v,k29y01q8-23v0-6065-md69-550p2u5321i8,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/172r4p60-c353-72ll-0q4v-u255eg8f8881/content/172r4p60-c353-72ll-0q4v-u255eg8f8881,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/172r4p60-c353-72ll-0q4v-u255eg8f8881/content/172r4p60-c353-72ll-0q4v-u255eg8f8881,2,jparchmentf.pdf,01570c72-6k91-2624-9j44-w66w7882yr67,36378u40-b994-5df8-fj7f-rie6347j01rx,PREFLIGHT _OK,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/u73axq12-f9w8-6228-66a9-547999m4p174/thumbs/u73axq12-f9w8-6228-66a9-547999m4p174,0.0,0.0,187,104,20.1,32.1,175,88,Black,Overprint,PRINTING,OPAQUE,0.88,PREFLIGHT_OK,2,2017-06-08 04:22:59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,65,0,2.91,1.8,F51,0.47,1,Freies_Format,Einseitig,gestrichen_neues_Profil,etikett
789i8xh6080ze576umx42q6v,x61r21n1-41l2-5111-pd29-682k1s2179z5,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/093q6r35-v743-35xf-6e7s-x357wn3t2044/content/093q6r35-v743-35xf-6e7s-x357wn3t2044,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/093q6r35-v743-35xf-6e7s-x357wn3t2044/content/093q6r35-v743-35xf-6e7s-x357wn3t2044,2,ksivyerg.pdf,36338g04-0j80-2774-6n76-w54w3675rs64,13025z45-u559-8fy7-if9v-jfn8553o66xu,PREFLIGHT _OK,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/t19apk72-d2s5-5208-86r4-891323d0e300/thumbs/t19apk72-d2s5-5208-86r4-891323d0e300,0.0,0.0,210,104,20.1,41.17,199,91,Black,Unchanged,PRINTING,TRANSPARENT,0.02,PREFLIGHT_OK,2,2020-08-26 06:56:19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100_MPH,0.01,0.09,0.09,0.0,Overprint,LACK,UNSPECIFIED,0.62,49,0,2.88,2,F47,0.44,1,Freies_Format,Einseitig,angestrichen_altes_Profil,etikett
265b7qa3256sr163vou59n8j,c26u55g6-65x3-1030-gm65-869d9e2503p1,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/868u9o46-q362-18op-1a8c-f379ab6n2543/content/868u9o46-q362-18op-1a8c-f379ab6n2543,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/868u9o46-q362-18op-1a8c-f379ab6n2543/content/868u9o46-q362-18op-1a8c-f379ab6n2543,1,vbrissonh.pdf,40527a77-8t78-9029-5o01-g46z9360nn23,59157w74-g341-0fz7-dc4e-qhx0152r35rn,PREFLIGHT _OK,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/h39phy59-v9n6-2529-45b4-445429z0j658/thumbs/h39phy59-v9n6-2529-45b4-445429z0j658,0.0,0.0,138,175,15.1,41.17,126,160,Cyan,Unchanged,PRINTING,OPAQUE,0.84,PREFLIGHT_OK,1,2015-07-21 23:58:39,Magenta,Overprint,LINE,UNSPECIFIED,0.47,Yellow,Overprint,LACK,TRANSPARENT,0.04,Black,Overprint,LINE,TRANSPARENT,0.13,24_Karat,0.09,0.09,0.04,0.0,Knockout,LACK,NORMAL,0.91,56,0,2.73,1.3,F39,0.13,1,Freies_Format,Einseitig,gestrichen_altes_Profil,etikett
187q3mu1021oi947zpx54b5u,a91j70n8-68y3-2429-yy83-881f8i6730h4,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/668b4y61-b932-84fr-9j3o-l557mg7r6067/content/668b4y61-b932-84fr-9j3o-l557mg7r6067,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/668b4y61-b932-84fr-9j3o-l557mg7r6067/content/668b4y61-b932-84fr-9j3o-l557mg7r6067,2,cduckeri.pdf,82168m26-7x10-7925-4f39-k99t0709cd21,78156n85-f668-1mh2-bb9v-ufa0906d98ou,PREFLIGHT _OK,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/n21lhu12-s9m9-8262-51i5-824914c1c701/thumbs/n21lhu12-s9m9-8262-51i5-824914c1c701,0.0,0.0,33,153,20.1,41.17,18,140,Cyan,Unspecified,LACK,NORMAL,0.56,PREFLIGHT_OK,1,2020-11-01 00:03:58,Magenta,Unspecified,PRINTING,NORMAL,0.19,Yellow,Unchanged,PRINTING,NORMAL,0.63,Black,Overprint,LINE,UNSPECIFIED,0.14,Navi,0.05,0.05,0.07,0.0,Unchanged,LACK,NORMAL,0.5,49,0,2.33,4.6,F39,0.19,1,Freies_Format,Einseitig,gestrichen_altes_Profil,etikett
878h7mh2722ix617dxy59y1a,c04s40u8-29r1-4582-kl03-448w9u5931f0,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/014n9d93-i325-73ub-3x6j-o786qh1w2984/content/014n9d93-i325-73ub-3x6j-o786qh1w2984,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/014n9d93-i325-73ub-3x6j-o786qh1w2984/content/014n9d93-i325-73ub-3x6j-o786qh1w2984,1,rklaesj.pdf,64817n39-0u77-1526-5n37-e24t0398zy01,86459k23-a408-6ms0-xo5t-blb3196y94pm,PREFLIGHT _OK,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/r09tbo68-x5c9-6817-59z7-175276y8t993/thumbs/r09tbo68-x5c9-6817-59z7-175276y8t993,0.0,0.0,200,153,15.1,41.17,187,141,Black,Overprint,LACK,NORMAL,0.14,PREFLIGHT_OK,1,2018-04-18 00:51:09,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,41,0,13,1.3,F39,0.18,1,Freies_Format,Einseitig,gestrichen_altes_Profil,etikett
240c7kl0128zl813ule03k2q,x67h16y9-87l2-9698-ri39-189r7k7658g8,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/323p4x74-t051-01mp-6n9k-g619vd6c1493/content/323p4x74-t051-01mp-6n9k-g619vd6c1493,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/323p4x74-t051-01mp-6n9k-g619vd6c1493/content/323p4x74-t051-01mp-6n9k-g619vd6c1493,2,bmccaddenk.pdf,66090m08-6s70-9055-4e47-w80i9781oe81,64500r09-o459-0be2-fg7e-xrq1890x78ge,PREFLIGHT _OK,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/q03qef45-e9w7-1187-22m6-272639h1q093/thumbs/q03qef45-e9w7-1187-22m6-272639h1q093,0.0,0.0,210,104,15.1,32.1,197,90,Black,Unspecified,PRINTING,TRANSPARENT,0.46,PREFLIGHT_OK,1,2017-06-07 01:12:28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,MLS,0.05,0.07,0.06,0.0,Overprint,PRINTING,OPAQUE,0.48,36,0,2.04,2,F52,0.32,1,Freies_Format,Einseitig,angestrichen_neues_Profil,etikett
